ASROCK,,,,,,,,,,,
AB350M HDV R3.0,mATX,🗙,🗙,🗙,＊,3,,1x SM4337,1x SM4336,,
AB350M HDV R4.0,mATX,🗙,🗙,🗙,＊,4,,1x DEC3908X,1x DEC3906X,,
Fatal1ty AB350 Gaming K4,ATX,🗙,＊,✔,✔,3,,2x SM4337,2x SM4336,,
Fatal1ty X370 Gaming K4 {variant 1},ATX,🗙,＊,✔,✔,4,,2x SM4337,2x SM4336,,
Fatal1ty X370 Gaming K4 {variant 2},ATX,🗙,＊,✔,✔,4,,2x PZ0903PK,2x PK618BA,,
Fatal1ty X370 Gaming X {variant 1},ATX,🗙,＊,✔,✔,4,,2x SM4337,2x SM4336,,
Fatal1ty X370 Gaming X {variant 2},ATX,🗙,＊,✔,✔,4,,2x PZ0903PK,2x PK618BA,,
Fatal1ty X370 Gaming-ITX/ac,mITX,🗙,＊,✔,✔,3,,2x SM7341EHKP Dual N-FET,,,
Fatal1ty X370 Professional Gaming,ATX,✔,✔,✔,✔,6 * 2,IR3598,1x CSD87350 40A Dual N-FET,,,
X370 Killer SLI[/ac],ATX,🗙,＊,✔,✔,4,,2x SM4337,2x SM4336,,
X370 Killer SLI[/ac],ATX,🗙,＊,✔,✔,4,,2x PZ0903PK,2x PK618BA,,
X370 Pro4,ATX,🗙,＊,✔,✔,3,,2x SM4337,2x SM4336,,
X370 Taichi,ATX,✔,✔,✔,✔,6 * 2,IR3598,1x CSD87350 40A Dual N-FET,,,
X370M HDV,mATX,―,―,―,―,4,,,,,
X370M Pro4 {variant 1},mATX,🗙,＊,✔,✔,3,,2x SM4337,2x SM4336,,
X370M Pro4 {variant 2},mATX,🗙,＊,✔,✔,3,,2x PZ0903PK,2x PK618BA,,
X370M Pro4 R2.0,mATX,―,―,―,―,3,,,,,
ASUS,,,,,,,,,,,
Prime B350-Plus,ATX,🗙,＊,✔,✔,4,,1x 4C09B,2x 4C06B,,
Prime B350M-A [/CSM],mATX,🗙,🗙,＊,＊,4,,1x 4C09B,2x 4C06B,,
Prime B350M-E,mATX,🗙,🗙,＊,＊,4,,1x 4C09B,2x 4C06B,,
Prime B350M-K,mATX,🗙,🗙,＊,＊,4,,1x 4C09B,2x 4C06B,,
Prime X370-A,ATX,🗙,＊,✔,✔,4,,1x 4C09B,2x 4C06B,,
Prime X370-Pro,ATX,＊,✔,✔,✔,6,,1x CSD87350 40A Dual N-FET,,,
ROG Crosshair VI Extreme,E-ATX,✔,✔,✔,✔,4 * 2,IR3599,1x IR3555 60A Power Stage,,✔,
ROG Crosshair VI Hero [Wi-Fi AC],ATX,✔,✔,✔,✔,4 * 2,IR3599,1x CSD87350 40A Dual N-FET,,✔,
ROG Strix B350-F Gaming,ATX,🗙,＊,✔,✔,4,,1x 4C09B,2x 4C06B,,
ROG Strix B350-I Gaming,mITX,🗙,✔,✔,✔,6,,1x BSG0812ND 50A Dual N-FET,,,
ROG Strix X370-F Gaming,ATX,✔,✔,✔,✔,6,,1x IR3555 60A Power Stage,,,
ROG Strix X370-I Gaming,mITX,🗙,✔,✔,✔,6,,1x BSG0812ND 50A Dual N-FET,,,
TUF B350M-Plus Gaming,mATX,🗙,＊,✔,✔,4,,1x 4C09B,2x 4C06B,,
BIOSTAR,,,,,,,,,,,
B45M2 {not a mistake},mATX,🗙,🗙,＊,✔,4,,1x SM4377,2x SM4364,,
Hi-Fi B350S1,mATX,🗙,🗙,＊,✔,4,,1x SM4377,2x SM4364,,
Racing B350ET2,mATX,🗙,🗙,＊,✔,4,,1x SM4377,2x SM4364,,
Racing B350GT3,mATX,🗙,🗙,＊,✔,4,,1x SM4377,2x SM4364,,
Racing B350GT5,ATX,🗙,🗙,＊,✔,4,,1x SM4377,2x SM4364,,
Racing B350GTN,mITX,🗙,＊,✔,✔,4,,1x PK612DZ 60A Dual N-FET,,,
Racing X370GT3,mATX,🗙,🗙,＊,✔,4,,1x SM4377,2x SM4364,,
Racing X370GT5,ATX,🗙,🗙,＊,✔,4,,1x SM4377,2x SM4364,,
Racing X370GT7,ATX,✔,✔,✔,✔,4 * 2,IR3599,1x IR3555 60A Power Stage,,,
Racing X370GTN,mITX,🗙,＊,✔,✔,4,,1x PK612DZ 60A Dual N-FET,,,
GIGABYTE,,,,,,,,,,,
AB350 Gaming,ATX,🗙,＊,✔,✔,4,,1x 4C10N,2x 4C06N,,
AB350 Gaming 3,ATX,🗙,＊,✔,✔,4,,1x 4C10N,2x 4C06N,,
AB350M Gaming 3,mATX,🗙,＊,✔,✔,4,,1x 4C10N,2x 4C06N,,
AB350M D3H,mATX,🗙,🗙,＊,✔,4,,1x SiRA14DP,2x SiRA12DP,,
AB350M D3V,mATX,🗙,🗙,＊,＊,4,,1x 4C10N,2x 4C06N,,
AB350M Dash,mATX,🗙,🗙,＊,✔,4,,1x 4C10N,2x 4C06N,,
AB350M DS2,mATX,🗙,🗙,＊,＊,4,,1x 4C10N,2x 4C06N,,
AB350M DS3H,mATX,🗙,🗙,＊,✔,4,,1x 4C10N,2x 4C06N,,
AB350M DS3H V2,mATX,🗙,🗙,＊,✔,4,,1x 4C10N,2x 4C06N,,
AB350M HD3,mATX,🗙,🗙,＊,＊,4,,1x 4C10N,2x 4C06N,,
AB350N Gaming WiFi,mITX,🗙,＊,✔,✔,4,,1x IR3556 50A Power Stage,,,
Aorus AX370 Gaming K5,ATX,🗙,＊,✔,✔,4,,1x 4C10N,2x 4C06N,,
Aorus AX370 Gaming 5,ATX,＊,✔,✔,✔,6,,1x IR3553 40A Power Stage,,,
Aorus AX370 Gaming K7,ATX,＊,✔,✔,✔,6,,1x IR3553 40A Power Stage,,,
AX370 Gaming,ATX,🗙,＊,✔,✔,4,,1x 4C10N,2x 4C06N,,
AX370 Gaming K3,ATX,🗙,＊,✔,✔,4,,1x 4C10N,2x 4C06N,,
AX370 Gaming 3,ATX,🗙,＊,✔,✔,4,,1x 4C10N,2x 4C06N,,
AX370M Gaming 3,mATX,🗙,＊,✔,✔,4,,1x 4C10N,2x 4C06N,,
AX370M DS3H,mATX,🗙,🗙,＊,✔,3,,1x 4C10N,2x 4C06N,,
MSI,,,,,,,,,,,
B350 Gaming Plus,ATX,🗙,🗙,＊,✔,4,,1x PK616BA,2x PK632BA,,
B350 Gaming Pro Carbon,ATX,🗙,＊,✔,✔,4,,2x PK616BA,2x PK632BA,,
B350 Krait Gaming,ATX,🗙,＊,✔,✔,4,,2x PK616BA,2x PK632BA,,
B350 PC Mate,ATX,🗙,🗙,＊,✔,4,,1x PK616BA,2x PK632BA,,
